image,score,confidence,reason
2026-03-24/2026-03-24_1158.jpg,44.96,0.7104,illegal_3
2026-03-17/2026-03-17_0913.jpg,28.96,0.7104,low_confidence
2026-03-26/2026-03-26_0932.jpg,42.95,0.7105,illegal_2
2026-03-13/2026-03-13_1109.jpg,40.95,0.7105,illegal_1
2026-03-02/2026-03-02_1052.jpg,44.92,0.7108,illegal_3
2026-03-05/2026-03-05_1332.jpg,44.91,0.7109,illegal_3
2026-03-05/2026-03-05_1252.jpg,44.89,0.7111,illegal_3
2026-02-24/2026-02-24 13_15_29.jpg,42.88,0.7112,illegal_2
2026-03-25/2026-03-25_0943.jpg,42.88,0.7112,illegal_2
2026-02-24/2026-02-24 09_55_23.jpg,40.88,0.7112,illegal_1
2026-03-18/2026-03-18_1005.jpg,40.88,0.7112,illegal_1
2026-03-20/2026-03-20_0720.jpg,28.86,0.7114,low_confidence
2026-03-11/2026-03-11_1402.jpg,40.82,0.7118,illegal_1
2026-03-24/2026-03-24_1238.jpg,44.81,0.7119,illegal_3
2026-03-09/2026-03-09_0959.jpg,44.80,0.7120,illegal_3
2026-03-24/2026-03-24_1028.jpg,44.80,0.7120,illegal_3
2026-03-10/2026-03-10_1410.jpg,28.74,0.7126,low_confidence
2026-03-24/2026-03-24_0958.jpg,44.73,0.7127,illegal_3
2026-02-26/2026-02-26_1109.jpg,42.71,0.7129,illegal_2
2026-03-05/2026-03-05_1212.jpg,42.71,0.7129,illegal_2
2026-02-26/2026-02-26_1039.jpg,42.66,0.7134,illegal_2
2026-03-04/2026-03-04_1211.jpg,40.66,0.7134,illegal_1
2026-03-02/2026-03-02_1022.jpg,44.64,0.7136,illegal_3
2026-03-02/2026-03-02_1112.jpg,44.64,0.7136,illegal_3
2026-03-03/2026-03-03_1004.jpg,42.64,0.7136,illegal_2
2026-03-04/2026-03-04_0911.jpg,28.64,0.7136,low_confidence
2026-03-20/2026-03-20_0730.jpg,28.62,0.7138,low_confidence
2026-03-19/2026-03-19_1503.jpg,42.61,0.7139,illegal_2
2026-03-20/2026-03-20_1120.jpg,28.61,0.7139,low_confidence
2026-02-27/2026-02-27_0941.jpg,28.60,0.7140,low_confidence
2026-03-05/2026-03-05_1222.jpg,42.57,0.7143,illegal_2
2026-03-25/2026-03-25_0933.jpg,42.57,0.7143,illegal_2
2026-03-04/2026-03-04_1201.jpg,40.56,0.7144,illegal_1
2026-03-11/2026-03-11_0922.jpg,28.56,0.7144,low_confidence
2026-02-24/2026-02-24 09_05_22.jpg,40.55,0.7145,illegal_1
2026-03-17/2026-03-17_1053.jpg,40.52,0.7148,illegal_1
2026-03-11/2026-03-11_1432.jpg,40.51,0.7149,illegal_1
2026-03-18/2026-03-18_1115.jpg,40.50,0.7150,illegal_1
